districtid,timeid,dose1,dose2
AN_South Andaman,1,142585.0,59896.0
AP_East Godavari,1,1927490.0,552473.0
AP_Guntur,1,1758535.0,592441.0
AP_Krishna,1,1756261.0,557589.0
AP_Kurnool,1,1242692.0,492628.0
AP_Prakasam,1,1231912.0,515791.0
AP_S.P.S. Nellore,1,1158076.0,528689.0
AP_Srikakulam,1,1028569.0,336972.0
AP_Visakhapatnam,1,1875574.0,623159.0
AP_Vizianagaram,1,921086.0,220017.0
AP_West Godavari,1,1642547.0,431963.0
AP_Y.S.R. Kadapa,1,1043434.0,395280.0
AR_East Kameng,1,20421.0,6183.0
AR_East Siang,1,51321.0,16080.0
AR_Kamle,1,6199.0,1537.0
AR_Kra Daadi,1,5837.0,1741.0
AR_Kurung Kumey,1,8574.0,2847.0
AR_Lepa Rada,1,12956.0,4959.0
AR_Lohit,1,27886.0,6710.0
AR_Longding,1,17969.0,3265.0
AR_Lower Dibang Valley,1,29726.0,8102.0
AR_Lower Siang,1,15692.0,4567.0
AR_Lower Subansiri,1,24812.0,8151.0
AR_Namsai,1,57846.0,12607.0
AR_Pakke Kessang,1,7668.0,2984.0
AR_Papum Pare,1,123257.0,38321.0
AR_Shi Yomi,1,6719.0,2298.0
AR_Siang,1,13877.0,4273.0
AR_Tawang,1,27675.0,9166.0
AR_Tirap,1,29015.0,5633.0
AR_Upper Dibang Valley,1,3915.0,1234.0
AR_Upper Siang,1,17475.0,6358.0
AR_Upper Subansiri,1,23099.0,7267.0
AR_West Kameng,1,49879.0,13683.0
AR_West Siang,1,32647.0,12316.0
AS_Biswanath,1,342059.0,50926.0
AS_Bongaigaon,1,269597.0,57107.0
AS_Cachar,1,489044.0,101114.0
AS_Charaideo,1,199865.0,31684.0
AS_Chirang,1,151312.0,32751.0
AS_Darrang,1,280728.0,57463.0
AS_Dhemaji,1,279226.0,56455.0
AS_Dhubri,1,328637.0,73776.0
AS_Dibrugarh,1,556467.0,138516.0
AS_Dima Hasao,1,81926.0,21625.0
AS_Goalpara,1,293385.0,53550.0
AS_Golaghat,1,489257.0,88744.0
AS_Hailakandi,1,235569.0,43931.0
AS_Hojai,1,306933.0,68878.0
AS_Jorhat,1,503031.0,100117.0
AS_Kamrup,1,607960.0,144232.0
AS_Kamrup Metropolitan,1,1021908.0,312364.0
AS_Karbi Anglong,1,149963.0,37250.0
AS_Karimganj,1,283443.0,60499.0
AS_Kokrajhar,1,261219.0,51130.0
AS_Lakhimpur,1,437664.0,71887.0
AS_Majuli,1,102129.0,28372.0
AS_Morigaon,1,353676.0,51176.0
AS_Nagaon,1,607354.0,132272.0
AS_Nalbari,1,266558.0,51355.0
AS_Sivasagar,1,348789.0,65529.0
AS_Sonitpur,1,569789.0,135581.0
AS_South Salmara Mankachar,1,147101.0,8487.0
AS_Tinsukia,1,402046.0,81923.0
AS_Udalguri,1,221841.0,44498.0
AS_West Karbi Anglong,1,74202.0,13119.0
BR_Aurangabad,1,541455.0,71363.0
BR_Banka,1,487527.0,77742.0
BR_Begusarai,1,713926.0,112529.0
BR_Bhagalpur,1,894035.0,170988.0
BR_Bhojpur,1,596080.0,99551.0
BR_Buxar,1,412175.0,75792.0
BR_Darbhanga,1,977344.0,185612.0
BR_East Champaran,1,1182584.0,207812.0
BR_Gaya,1,956039.0,202428.0
BR_Gopalganj,1,535391.0,84542.0
BR_Jamui,1,385107.0,59472.0
BR_Jehanabad,1,282961.0,53212.0
BR_Kaimur,1,343454.0,45740.0
BR_Katihar,1,626223.0,89975.0
BR_Khagaria,1,366765.0,56768.0
BR_Kishanganj,1,336450.0,50253.0
BR_Lakhisarai,1,221035.0,33930.0
BR_Madhepura,1,413567.0,70339.0
BR_Madhubani,1,948197.0,186667.0
BR_Munger,1,382065.0,64451.0
BR_Muzaffarpur,1,1067700.0,193496.0
BR_Nalanda,1,769782.0,169833.0
BR_Nawada,1,487326.0,84583.0
BR_Patna,1,2510147.0,855821.0
BR_Purnia,1,829600.0,163272.0
BR_Rohtas,1,673227.0,110046.0
BR_Saharsa,1,425804.0,77479.0
BR_Samastipur,1,963863.0,176117.0
BR_Saran,1,1034080.0,212980.0
BR_Sheikhpura,1,166526.0,29858.0
BR_Sheohar,1,169238.0,38021.0
BR_Sitamarhi,1,722754.0,121124.0
BR_Siwan,1,908868.0,181050.0
BR_Supaul,1,457336.0,78453.0
BR_Vaishali,1,785921.0,137158.0
BR_West Champaran,1,811747.0,98510.0
CT_Balrampur,1,194776.0,39958.0
CT_Bametara,1,178460.0,44883.0
CT_Bastar,1,269727.0,70849.0
CT_Bijapur,1,79453.0,28074.0
CT_Bilaspur,1,576150.0,192418.0
CT_Dakshin Bastar Dantewada,1,111700.0,35220.0
CT_Dhamtari,1,310503.0,91399.0
CT_Durg,1,612155.0,258651.0
CT_Gariaband,1,167276.0,39250.0
CT_Gaurela Pendra Marwahi,1,110668.0,22823.0
CT_Janjgir Champa,1,449745.0,131719.0
CT_Jashpur,1,261734.0,65103.0
CT_Kabeerdham,1,256111.0,63224.0
CT_Kondagaon,1,170183.0,32747.0
CT_Korba,1,418071.0,123357.0
CT_Koriya,1,182023.0,47728.0
CT_Mahasamund,1,462204.0,144523.0
CT_Mungeli,1,194402.0,50053.0
CT_Narayanpur,1,34817.0,11993.0
CT_Raigarh,1,900766.0,270605.0
CT_Raipur,1,1156518.0,394988.0
CT_Rajnandgaon,1,684394.0,170975.0
CT_Sukma,1,106266.0,33333.0
CT_Surajpur,1,229363.0,49171.0
CT_Surguja,1,334150.0,101524.0
CT_Uttar Bastar Kanker,1,245262.0,72095.0
DL_New Delhi,1,648056.0,320117.0
DL_North Delhi,1,664394.0,226801.0
DL_North East Delhi,1,521929.0,164757.0
DL_North West Delhi,1,958245.0,388152.0
DL_Shahdara,1,562883.0,219941.0
DL_South Delhi,1,905028.0,343579.0
DL_South East Delhi,1,787012.0,309115.0
DL_South West Delhi,1,903744.0,366120.0
DL_West Delhi,1,840906.0,379384.0
DN_Diu,1,37922.0,13642.0
GJ_Anand,1,941889.0,300552.0
GJ_Aravalli,1,486722.0,181254.0
GJ_Banaskantha,1,1351811.0,489198.0
GJ_Bharuch,1,828098.0,223145.0
GJ_Bhavnagar,1,1001217.0,330617.0
GJ_Botad,1,299375.0,61961.0
GJ_Chhota Udaipur,1,431915.0,153733.0
GJ_Dahod,1,733809.0,355177.0
GJ_Dang,1,69744.0,17846.0
GJ_Devbhumi Dwarka,1,407654.0,136967.0
GJ_Gandhinagar,1,923852.0,257561.0
GJ_Gir Somnath,1,539065.0,145611.0
GJ_Jamnagar,1,802014.0,258934.0
GJ_Junagadh,1,768802.0,262033.0
GJ_Kheda,1,889255.0,267484.0
GJ_Kutch,1,939684.0,265734.0
GJ_Mahisagar,1,441590.0,221624.0
GJ_Mehsana,1,970192.0,356885.0
GJ_Morbi,1,432833.0,103388.0
GJ_Narmada,1,293108.0,118086.0
GJ_Navsari,1,635674.0,229345.0
GJ_Panchmahal,1,679468.0,223003.0
GJ_Patan,1,570006.0,182788.0
GJ_Porbandar,1,320244.0,129120.0
GJ_Rajkot,1,1748951.0,541801.0
GJ_Sabarkantha,1,700217.0,215686.0
GJ_Surat,1,3258016.0,972722.0
GJ_Surendranagar,1,753625.0,134571.0
GJ_Tapi,1,360557.0,107999.0
GJ_Vadodara,1,2098748.0,674809.0
GJ_Valsad,1,762723.0,269206.0
HP_Hamirpur,1,358566.0,134460.0
HP_Kangra,1,1062430.0,332518.0
HP_Kinnaur,1,74065.0,22933.0
HP_Kullu,1,295658.0,87375.0
HP_Lahaul and Spiti,1,26939.0,8661.0
HP_Mandi,1,688121.0,233717.0
HP_Shimla,1,561724.0,189175.0
HP_Sirmaur,1,327619.0,74356.0
HP_Solan,1,563827.0,120837.0
HP_Una,1,396818.0,127147.0
HR_Charkhi Dadri,1,307834.0,88366.0
HR_Faridabad,1,1039257.0,311343.0
HR_Fatehabad,1,326567.0,82393.0
HR_Gurugram,1,1544589.0,517662.0
HR_Hisar,1,500835.0,120255.0
HR_Jhajjar,1,389811.0,107813.0
HR_Jind,1,338393.0,81282.0
HR_Kaithal,1,334728.0,81923.0
HR_Karnal,1,548360.0,192305.0
HR_Kurukshetra,1,347878.0,106880.0
HR_Mahendragarh,1,360294.0,106498.0
HR_Nuh,1,155316.0,24748.0
HR_Palwal,1,349355.0,73996.0
HR_Panchkula,1,339498.0,126331.0
HR_Panipat,1,359823.0,111903.0
HR_Rewari,1,356215.0,126591.0
HR_Rohtak,1,385391.0,116915.0
HR_Sirsa,1,437081.0,122678.0
HR_Sonipat,1,575767.0,191322.0
HR_Yamunanagar,1,424693.0,140517.0
JH_Deoghar,1,383729.0,78267.0
JH_Dhanbad,1,604509.0,202493.0
JH_Dumka,1,360252.0,72045.0
JH_East Singhbhum,1,770884.0,271536.0
JH_Garhwa,1,294093.0,59833.0
JH_Giridih,1,576441.0,98036.0
JH_Godda,1,381260.0,65117.0
JH_Gumla,1,278365.0,61993.0
JH_Hazaribagh,1,497004.0,113149.0
JH_Jamtara,1,238934.0,51971.0
JH_Khunti,1,153184.0,44994.0
JH_Koderma,1,263987.0,49638.0
JH_Latehar,1,170217.0,34354.0
JH_Lohardaga,1,136824.0,27977.0
JH_Pakur,1,235442.0,39677.0
JH_Palamu,1,510029.0,110720.0
JH_Ramgarh,1,272596.0,71577.0
JH_Ranchi,1,825443.0,263325.0
JH_Sahibganj,1,263913.0,43544.0
JH_Saraikela-Kharsawan,1,276823.0,67674.0
JH_Simdega,1,197159.0,34112.0
JH_West Singhbhum,1,373514.0,83787.0
JK_Baramulla,1,416970.0,118376.0
JK_Budgam,1,306134.0,97803.0
JK_Doda,1,201478.0,43023.0
JK_Ganderbal,1,138708.0,42603.0
JK_Jammu,1,706565.0,325744.0
JK_Kathua,1,305603.0,82214.0
JK_Kishtwar,1,104153.0,29965.0
JK_Kulgam,1,212565.0,60790.0
JK_Kupwara,1,360028.0,61613.0
JK_Pulwama,1,249598.0,70638.0
JK_Punch,1,253523.0,45015.0
JK_Rajouri,1,311010.0,58580.0
JK_Ramban,1,164429.0,48470.0
JK_Reasi,1,182715.0,37381.0
JK_Samba,1,192423.0,64180.0
JK_Shopiyan,1,120282.0,42435.0
JK_Srinagar,1,489945.0,128434.0
JK_Udhampur,1,307165.0,79284.0
KA_Belagavi,1,1606873.0,441241.0
KA_Bengaluru Rural,1,442590.0,118346.0
KA_Bengaluru Urban,1,7263343.0,2056687.0
KA_Bidar,1,607557.0,151287.0
KA_Chamarajanagara,1,401003.0,109583.0
KA_Chikkaballapura,1,512675.0,155959.0
KA_Chikkamagaluru,1,390270.0,166404.0
KA_Chitradurga,1,621646.0,212319.0
KA_Dakshina Kannada,1,993379.0,312039.0
KA_Davanagere,1,615031.0,154013.0
KA_Dharwad,1,727618.0,202268.0
KA_Gadag,1,372155.0,124221.0
KA_Hassan,1,686651.0,228657.0
KA_Haveri,1,466300.0,116038.0
KA_Kalaburagi,1,747715.0,184076.0
KA_Kodagu,1,239366.0,88071.0
KA_Kolar,1,685352.0,160867.0
KA_Koppal,1,485990.0,137214.0
KA_Mandya,1,739470.0,211163.0
KA_Mysuru,1,1436322.0,503350.0
KA_Raichur,1,572771.0,143759.0
KA_Ramanagara,1,483697.0,183849.0
KA_Shivamogga,1,655560.0,212328.0
KA_Tumakuru,1,1015968.0,275555.0
KA_Udupi,1,600711.0,220649.0
KA_Uttara Kannada,1,566530.0,196730.0
KA_Vijayapura,1,725018.0,179674.0
KA_Yadgir,1,363011.0,122734.0
KL_Idukki,1,621939.0,216039.0
KL_Kannur,1,1232803.0,504665.0
KL_Kasaragod,1,643329.0,281687.0
KL_Kollam,1,1316718.0,505635.0
KL_Kottayam,1,1065097.0,419359.0
KL_Kozhikode,1,1506653.0,585899.0
KL_Malappuram,1,1392634.0,561718.0
KL_Palakkad,1,1209284.0,421074.0
KL_Pathanamthitta,1,879424.0,382059.0
KL_Thiruvananthapuram,1,1955708.0,743860.0
KL_Thrissur,1,1604016.0,631094.0
KL_Wayanad,1,602787.0,210762.0
MH_Amravati,1,691927.0,251834.0
MH_Aurangabad,1,997525.0,333225.0
MH_Beed,1,611007.0,190610.0
MH_Bhandara,1,466299.0,153751.0
MH_Buldhana,1,658422.0,229351.0
MH_Chandrapur,1,581626.0,169035.0
MH_Dhule,1,534288.0,169102.0
MH_Gadchiroli,1,287000.0,69355.0
MH_Gondia,1,556195.0,144079.0
MH_Hingoli,1,244667.0,58953.0
MH_Jalgaon,1,831795.0,271794.0
MH_Jalna,1,524100.0,157856.0
MH_Kolhapur,1,1281779.0,700029.0
MH_Latur,1,615120.0,203038.0
MH_Mumbai,1,6169741.0,2075554.0
MH_Nagpur,1,1972659.0,698551.0
MH_Nanded,1,676284.0,225318.0
MH_Nandurbar,1,426892.0,108510.0
MH_Nashik,1,1554167.0,548271.0
MH_Osmanabad,1,371522.0,125176.0
MH_Palghar,1,602297.0,216487.0
MH_Parbhani,1,449641.0,147665.0
MH_Pune,1,5097676.0,1772882.0
MH_Raigad,1,752669.0,245866.0
MH_Ratnagiri,1,418962.0,136049.0
MH_Sangli,1,1021917.0,429256.0
MH_Satara,1,1026507.0,440652.0
MH_Sindhudurg,1,291705.0,107470.0
MH_Solapur,1,824586.0,301349.0
MH_Thane,1,2898733.0,1064471.0
MH_Wardha,1,444124.0,143957.0
MH_Washim,1,387960.0,142456.0
MH_Yavatmal,1,670562.0,216553.0
ML_East Khasi Hills,1,287501.0,84505.0
ML_North Garo Hills,1,51584.0,11143.0
ML_Ribhoi,1,79479.0,17162.0
ML_South Garo Hills,1,31406.0,9316.0
ML_South West Garo Hills,1,62659.0,15253.0
ML_South West Khasi Hills,1,30510.0,6384.0
ML_West Garo Hills,1,189614.0,46616.0
ML_West Jaintia Hills,1,76299.0,21453.0
ML_West Khasi Hills,1,67223.0,21964.0
MN_Churachandpur,1,98473.0,23909.0
MN_Imphal East,1,238949.0,60824.0
MN_Imphal West,1,291475.0,69468.0
MN_Jiribam,1,25146.0,3777.0
MN_Kakching,1,76850.0,15197.0
MN_Kamjong,1,9620.0,1689.0
MN_Kangpokpi,1,36150.0,7067.0
MN_Noney,1,16090.0,4369.0
